0.0275	0.0157	0.302
0.0275	0.0157	0.302
0.0275	0.0157	0.302
0.0314	0.0196	0.31
0.0314	0.0196	0.322
0.0353	0.0235	0.333
0.0353	0.0275	0.345
0.0353	0.0275	0.357
0.0392	0.0314	0.369
0.0392	0.0314	0.376
0.0431	0.0353	0.388
0.0431	0.0353	0.4
0.0471	0.0392	0.412
0.0471	0.0392	0.424
0.051	0.0431	0.435
0.051	0.0431	0.447
0.0549	0.0471	0.455
0.0549	0.0471	0.467
0.0549	0.051	0.478
0.0588	0.051	0.49
0.0588	0.0549	0.502
0.0627	0.0588	0.514
0.0627	0.0588	0.525
0.0667	0.0627	0.533
0.0667	0.0627	0.545
0.0706	0.0667	0.557
0.0706	0.0667	0.569
0.0706	0.0706	0.58
0.0745	0.0706	0.592
0.0745	0.0745	0.604
0.0784	0.0745	0.612
0.0784	0.0784	0.624
0.0824	0.0784	0.635
0.0824	0.0824	0.647
0.0863	0.0824	0.659
0.0863	0.0863	0.671
0.0902	0.0902	0.682
0.0902	0.0902	0.69
0.0941	0.102	0.694
0.098	0.114	0.698
0.102	0.125	0.702
0.11	0.137	0.71
0.114	0.149	0.714
0.118	0.161	0.718
0.122	0.173	0.722
0.125	0.184	0.725
0.129	0.196	0.729
0.133	0.208	0.733
0.137	0.22	0.737
0.141	0.227	0.741
0.149	0.239	0.749
0.153	0.251	0.753
0.157	0.263	0.757
0.161	0.275	0.761
0.165	0.286	0.765
0.169	0.298	0.769
0.173	0.31	0.773
0.176	0.322	0.776
0.18	0.333	0.78
0.188	0.345	0.788
0.192	0.357	0.792
0.196	0.369	0.796
0.2	0.376	0.8
0.204	0.388	0.804
0.208	0.4	0.808
0.212	0.412	0.812
0.216	0.424	0.816
0.22	0.435	0.82
0.224	0.447	0.824
0.231	0.459	0.831
0.243	0.471	0.831
0.259	0.486	0.835
0.278	0.498	0.835
0.298	0.514	0.839
0.314	0.525	0.839
0.329	0.541	0.843
0.349	0.553	0.843
0.369	0.565	0.843
0.384	0.58	0.847
0.404	0.592	0.847
0.42	0.608	0.851
0.439	0.62	0.851
0.455	0.635	0.855
0.475	0.647	0.855
0.49	0.663	0.859
0.51	0.675	0.859
0.525	0.686	0.863
0.545	0.702	0.863
0.561	0.714	0.867
0.58	0.729	0.867
0.596	0.741	0.867
0.616	0.757	0.871
0.631	0.769	0.871
0.651	0.784	0.875
0.667	0.796	0.875
0.686	0.812	0.878
0.702	0.824	0.878
0.722	0.835	0.882
0.733	0.847	0.882
0.741	0.851	0.882
0.749	0.851	0.882
0.757	0.855	0.882
0.765	0.855	0.886
0.773	0.859	0.886
0.776	0.859	0.886
0.784	0.863	0.886
0.792	0.863	0.886
0.8	0.867	0.886
0.808	0.867	0.886
0.812	0.871	0.886
0.82	0.875	0.89
0.827	0.875	0.89
0.835	0.878	0.89
0.843	0.878	0.89
0.851	0.882	0.89
0.855	0.882	0.89
0.863	0.886	0.89
0.871	0.886	0.894
0.878	0.89	0.894
0.886	0.89	0.894
0.894	0.894	0.894
0.894	0.894	0.878
0.894	0.89	0.863
0.894	0.886	0.843
0.894	0.886	0.827
0.894	0.882	0.808
0.894	0.882	0.792
0.894	0.878	0.773
0.894	0.878	0.753
0.894	0.875	0.737
0.894	0.875	0.718
0.894	0.871	0.702
0.894	0.871	0.682
0.894	0.867	0.667
0.894	0.867	0.647
0.894	0.863	0.631
0.894	0.863	0.612
0.898	0.859	0.592
0.898	0.859	0.576
0.898	0.855	0.557
0.898	0.855	0.541
0.898	0.851	0.522
0.898	0.847	0.506
0.898	0.847	0.486
0.898	0.843	0.471
0.898	0.843	0.451
0.898	0.839	0.435
0.898	0.839	0.416
0.898	0.835	0.396
0.898	0.835	0.38
0.898	0.831	0.361
0.898	0.82	0.349
0.898	0.8	0.345
0.898	0.776	0.341
0.894	0.753	0.333
0.894	0.733	0.329
0.894	0.71	0.322
0.894	0.686	0.318
0.894	0.667	0.314
0.89	0.643	0.306
0.89	0.624	0.302
0.89	0.6	0.298
0.89	0.576	0.29
0.89	0.557	0.286
0.886	0.533	0.282
0.886	0.51	0.275
0.886	0.49	0.271
0.886	0.467	0.263
0.886	0.443	0.259
0.886	0.424	0.255
0.882	0.4	0.247
0.882	0.376	0.243
0.882	0.357	0.239
0.882	0.333	0.231
0.882	0.314	0.227
0.878	0.29	0.224
0.878	0.267	0.216
0.878	0.247	0.212
0.878	0.224	0.204
0.878	0.2	0.2
0.878	0.18	0.196
0.875	0.157	0.188
0.875	0.133	0.184
0.875	0.114	0.18
0.871	0.102	0.176
0.863	0.098	0.173
0.859	0.098	0.169
0.851	0.0941	0.169
0.843	0.0941	0.165
0.839	0.0902	0.165
0.831	0.0902	0.161
0.824	0.0863	0.157
0.82	0.0863	0.157
0.812	0.0824	0.153
0.804	0.0824	0.149
0.8	0.0784	0.149
0.792	0.0784	0.145
0.784	0.0745	0.141
0.78	0.0745	0.141
0.773	0.0706	0.137
0.765	0.0667	0.137
0.761	0.0667	0.133
0.753	0.0627	0.129
0.745	0.0627	0.129
0.741	0.0588	0.125
0.733	0.0588	0.125
0.725	0.0549	0.122
0.722	0.0549	0.118
0.714	0.051	0.118
0.706	0.051	0.114
0.698	0.0471	0.11
0.694	0.0471	0.11
0.686	0.0431	0.106
0.678	0.0431	0.106
0.675	0.0392	0.102
0.667	0.0392	0.098
0.659	0.0353	0.098
0.655	0.0353	0.0941
0.647	0.0314	0.0902
0.639	0.0314	0.098
0.631	0.0314	0.11
0.624	0.0314	0.125
0.616	0.0314	0.141
0.608	0.0314	0.157
0.6	0.0314	0.173
0.588	0.0314	0.184
0.58	0.0314	0.2
0.573	0.0314	0.216
0.565	0.0314	0.231
0.557	0.0314	0.247
0.549	0.0314	0.259
0.541	0.0314	0.275
0.533	0.0314	0.29
0.525	0.0314	0.306
0.514	0.0314	0.322
0.506	0.0314	0.337
0.498	0.0314	0.353
0.49	0.0314	0.365
0.482	0.0314	0.38
0.475	0.0314	0.396
0.467	0.0314	0.412
0.459	0.0314	0.427
0.447	0.0314	0.439
0.439	0.0314	0.455
0.431	0.0314	0.471
0.424	0.0314	0.486
0.416	0.0314	0.502
0.408	0.0314	0.518
0.4	0.0314	0.529
0.392	0.0314	0.545
0.38	0.0314	0.561
0.373	0.0314	0.576
0.365	0.0314	0.592
0.357	0.0314	0.608
0.349	0.0314	0.624
